#,1#,2#,#3,10#,4#,5#,6#,7#
30379,update_page_act/107,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update_page_act/eyJpdiI6IkFzdzdzd3V0WCsvN0tCeFpaSndTcnc9PSIsInZhbHVlIjoiMkVjb2ppK0htSlpaUlpDN1BIbzBLUT09IiwibWFjIjoiNDhhNTIyOGY3NDdiMGJjM2YzMTgzNzY3Y2NlNGY2MmFmYWQ4ZTE5YTJhN2EyY2RkYTc1YmJlMzIxYWQ0OGE4MiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:40:05.000000Z,2023-08-23T07:40:05.000000Z
30378,update-page/107,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6InpUK2lRaEx0OVcyVG5JUnZIUHNCUUE9PSIsInZhbHVlIjoiODNOei9OQkZoYnhOV2dCUnVJa2ptdz09IiwibWFjIjoiNTU2ZjdhNzdmMDZkY2VmZWRmOGNhMmJhZTUzMmY5NjE0ODNmOGNhZmI4NWZhNmViYTZmZmVlODE5MzEyMzc1ZiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:38:42.000000Z,2023-08-23T07:38:42.000000Z
30377,feedback,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/feedback,1,"Super Admin",66.29.141.137,2023-08-23T07:38:28.000000Z,2023-08-23T07:38:28.000000Z
30376,feedback,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/feedback,1,"Super Admin",66.29.141.137,2023-08-23T07:38:28.000000Z,2023-08-23T07:38:28.000000Z
30375,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T07:36:10.000000Z,2023-08-23T07:36:10.000000Z
30374,update_page_act/28,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update_page_act/eyJpdiI6IjVTdjRBSW1rbGtxaWNsUU5XRERYVFE9PSIsInZhbHVlIjoiaUxXR2dPUnVEaUs3NTZmVG85Z0x0Zz09IiwibWFjIjoiMDMwNTc5NmM3M2ZjZmY4NGVkNjY4ZjZhYzhiZmJjNDZmYjAxMmM3MDZiZDZkNTc4NzlhMWJlNmZlODkxYTA5NiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:36:09.000000Z,2023-08-23T07:36:09.000000Z
30373,update-page/28,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6Ijg4TnVFR2VqSmxRYXNRR0xYUWVJM0E9PSIsInZhbHVlIjoiVUluNGV4TWk0R05BL1ZWSCt6TmJBUT09IiwibWFjIjoiOGRlYzliNTc5Y2I1YTM5OGNiZGIyNDUyZDdlNzUxMjRhOGY5ZTI2YjRkYTAwNmE4ZjI2OGFjMWU2ZTQ3MjQzYSIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:34:50.000000Z,2023-08-23T07:34:50.000000Z
30372,pages-list,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/pages-list,55,Aman,66.29.141.137,2023-08-23T07:34:26.000000Z,2023-08-23T07:34:26.000000Z
30371,update_page_act/28,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update_page_act/eyJpdiI6IjFhZnppNXhsZ1FHQ2wwamxMTk1wTWc9PSIsInZhbHVlIjoieWh3Vnc3S2tENEtsTWVFRW9VcnRjUT09IiwibWFjIjoiNjM3YWU0MTM1ZDM2NjdkZTRhNzc2Y2I0MWNmMjhhZTcyMjY3ZDQ1OWEzYWJlMTcxYWE5ZWY5NTMwNjFmY2QzYiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:34:25.000000Z,2023-08-23T07:34:25.000000Z
30370,update-page/28,"23-08-2023 ",https://dev.iim.staggings.in/Accounts/update-page/eyJpdiI6IlVTY1lhK1B5WkxuNjFzeWdwcE1yalE9PSIsInZhbHVlIjoiaWlVLy9CcGVGK3dWSHNuSXJDVXpCQT09IiwibWFjIjoiZWIyZDc4NmZiODFiYzE5NzRiZjRmYTBjZjFiZDY1YjRiYWI3ZmQ5MjQyNmRjNjY3YTE4NTU4ZjJhZTc5Mzg3NiIsInRhZyI6IiJ9,55,Aman,66.29.141.137,2023-08-23T07:33:26.000000Z,2023-08-23T07:33:26.000000Z
